pmcid,sid,sent,text,span,tag
PMC2720973,235,"Moreover, expression of a putative oxidoreductase (THI3148-like protein) was induced in the presence of arsenic. ",THI3148-like,"(51, 63)",GP
PMC2720973,237,The At. caldus gene encoding this THI3148-like protein is embedded within an ars operon. ,THI3148-like,"(34, 46)",GP
PMC2720973,540,aoxAB ,aoxAB,"(0, 5)",GP
PMC3836741,245,"More importantly, vSMCs cultured for 3 and 5 days deposited collagen type I and elastin ( Fig. 6D–G ), located beneath the vSMC layer and above SM22 negative cells, the ECFCs ( Fig. 6E, G ). ",collagen type I,"(60, 75)",GP
PMC4914568,32,"TypA is necessary for survival of Sinorhizobium meliloti under some stress conditions, such as low pH, low temperature, and treatment with sodium dodecyl sulfate (SDS; Kiss et al., 2004) and is required for growth of E. coli K12 at low temperatures (Pfennig and Flower, 2001). ",E. coli K12,"(217, 228)",GP
PMC4320556,58,"For detailed information on all inclusion/exclusion criteria, see the study protocol of the intervention study [21].Table 1 Participants’ characteristics Total (n = 149) Socio-demographic factors (%) Female74.5Living alone (n = 148)58.1SES* (n = 123) Low39.0 Middle51.2 High9.8 Anthropometric data (mean ± SD) Age [years]79.5 ± 5.2BMI [kg/m2]30.3 ± 5.5 Functional tests (mean ± SD) Timed up-and go [s]12.8 ± 4.5Grip strength (dominant hand) [kg]24.2 ± 8.3Chair-rise [s]20.0 ± 10.2Tandem stand [s]8.7 ± 2.4 Chronic diseases (%) Hypertension89.3Type 2 diabetes34.2Chronic ischemic heart disease28.9Heart failure34.9Peripheral arterial disease13.4COPD21.5Chronic kidney disease19.5Spinal osteochondrosis67.8Osteoarthritis of the hip47.7Osteoarthritis of the knee60.4Osteoporosis20.1Number of specified diseases 14.7 2-330.2 4-538.9 ≥ 626.2 Mobility limitation and falls (%) No walking aid49.7Cane28.2Rollator22.1Falls in the last 12 months (n = 147) 071.4 1-223.8 ≥ 34.8 SD standard deviation; COPD chronic obstructive pulmonary disease;*Socioeconomic status determined by education, job and income. ",Osteoarthritis of the knee,"(733, 759)",DS
PMC4320556,58,"For detailed information on all inclusion/exclusion criteria, see the study protocol of the intervention study [21].Table 1 Participants’ characteristics Total (n = 149) Socio-demographic factors (%) Female74.5Living alone (n = 148)58.1SES* (n = 123) Low39.0 Middle51.2 High9.8 Anthropometric data (mean ± SD) Age [years]79.5 ± 5.2BMI [kg/m2]30.3 ± 5.5 Functional tests (mean ± SD) Timed up-and go [s]12.8 ± 4.5Grip strength (dominant hand) [kg]24.2 ± 8.3Chair-rise [s]20.0 ± 10.2Tandem stand [s]8.7 ± 2.4 Chronic diseases (%) Hypertension89.3Type 2 diabetes34.2Chronic ischemic heart disease28.9Heart failure34.9Peripheral arterial disease13.4COPD21.5Chronic kidney disease19.5Spinal osteochondrosis67.8Osteoarthritis of the hip47.7Osteoarthritis of the knee60.4Osteoporosis20.1Number of specified diseases 14.7 2-330.2 4-538.9 ≥ 626.2 Mobility limitation and falls (%) No walking aid49.7Cane28.2Rollator22.1Falls in the last 12 months (n = 147) 071.4 1-223.8 ≥ 34.8 SD standard deviation; COPD chronic obstructive pulmonary disease;*Socioeconomic status determined by education, job and income. ",Osteoarthritis of the hip,"(704, 729)",DS
PMC4320556,71,"The GP documented chronic diseases (essential hypertension, type 2 diabetes, chronic ischemic heart disease, heart failure, peripheral arterial disease, COPD, chronic kidney disease, spinal osteochondrosis, osteoarthritis of the hip, osteoarthritis of the knee, and osteoporosis with or without pathological fracture). ",osteoarthritis of the hip,"(207, 232)",DS
PMC4320556,71,"The GP documented chronic diseases (essential hypertension, type 2 diabetes, chronic ischemic heart disease, heart failure, peripheral arterial disease, COPD, chronic kidney disease, spinal osteochondrosis, osteoarthritis of the hip, osteoarthritis of the knee, and osteoporosis with or without pathological fracture). ",osteoarthritis of the knee,"(234, 260)",DS
PMC4831690,28,"Features such as the onset of asthma either in childhood or during later years, the presence of atopy, the effect of upper respiratory tract viral infections in inducing exacerbations of asthma, asthma induced by ingestion of aspirin or non-steroidal anti-inflammatory agents, and the concomitant presence of comorbidities such as rhinosinusitis or obesity, have been recognised as important clinical features that delineate certain asthma clusters [1, 2]. ",viral infections,"(141, 157)",DS
PMC4831690,32,"Consistent epidemiological indications of the importance of the microbiome in asthma include the protection afforded by a rich microbial environment in early life [10, 11], observations that the bronchial tree contains a characteristic flora that is disturbed by the presence of pathogens in asthma [12–14], birth cohort studies showing that the presence of the same pathogens in throat swabs predicts the later development of asthma [15], recognition that these bacteria have consistently been associated with exacerbations of asthma [16], and evidence for the efficacy of antibiotics in the treatment of asthma and related syndromes [17–19]. ",tree,"(205, 209)",OG
PMC3029330,588,"A study reported increases in IL-1β, IL-2, IL-5, IL-6, IL-12, IL-13, in seasonal allergic conjunctivitis (SAC), vernal keratoconjunctivitis (VKC) and atopic keratoconjunctivitis (AKC), while IL-4, IFN-γ and IL-10 levels were increased in SAC and VKC compared to controls [16]. ",seasonal allergic conjunctivitis,"(72, 104)",DS
PMC3029330,613,In one the authors reported down regulations in lactoferrin and immunoglobulin kappa chains [40]. ,immunoglobulin kappa chains,"(64, 91)",GP
PMC3892176,23,"Originally described in the epidermal growth factor receptor and breakpoint cluster region–c-abl kinase domains 14–18, this has now also been described for echinoderm microtubule-associated protein-like 4 (EML4)–ALK by Choi et al., and others who have described the appearance of such mutations in the fusion EML4–ALK protein that confers resistance to crizotinib 19–22. ",echinoderm microtubule-associated protein-like 4,"(156, 204)",GP
PMC3892176,53,"Furthermore, identified downstream targets of ALK detected in this phosphoprofiling, such as mitogen-activated protein kinase (MAPK)1, MAPK3 [extracellular signal-related kinase (ERK)2/1], glycogen synthase kinase-3α, STAT3, FAK, and CRKL (Table S1), showed decreased phosphorylation upon abrogation of ALK activity in several neuroblastoma cell lines (Fig. S1). ",(ERK)2,"(178, 184)",GP
PMC3892176,53,"Furthermore, identified downstream targets of ALK detected in this phosphoprofiling, such as mitogen-activated protein kinase (MAPK)1, MAPK3 [extracellular signal-related kinase (ERK)2/1], glycogen synthase kinase-3α, STAT3, FAK, and CRKL (Table S1), showed decreased phosphorylation upon abrogation of ALK activity in several neuroblastoma cell lines (Fig. S1). ",extracellular signal-related kinase,"(142, 177)",GP
PMC3435272,198,"Through phenotypic effects of “use and disuse”, handed behavior has been shown to drive morphological laterality in different animal groups (e.g. lobsters [37]; snakes [4], [5]; humans [38]) (reviewed in [15]). ",snakes,"(161, 167)",OG
PMC6037156,355,Two crocodilian eggshells from Crocodylia porosus and Tomistoma schlegelii are also included in this study. ,Crocodylia porosus,"(31, 49)",OG
PMC4768280,3,"The Amydetinae genus Scissicauda McDermott, 1964 is reviewed and redescribed. ",Scissicauda McDermott,"(21, 42)",OG
PMC5249225,176,"DNA hypermethylation was observed in genes related to fatty acid transport and synthesis (LDLR, FATP, Glyctk, DGAT1 and DGAT2) and fatty acid oxidation (CPT-2, MCAD, CYP4A, ACO). ","FATP,","(96, 101)",GP
PMC6023005,27,"Eukaryotic photosynthetic microorganisms, such as Chlorella vulgaris, Dunaliella tertiolecta, Chlamydomonas reinhardtii, Phaeodactylum tricornutum, and Thalassiosira pseudonana, have also been studied [13,14,15]. ",Chlorella vulgaris,"(50, 68)",OG
PMC6023005,28,"Plant Microbial Fuel Cells (PMFCs) are systems where photosynthetic macro-organisms, generally vascular plants, operate in conjunction with MFC systems. ",vascular plants,"(95, 110)",OG
PMC1187897,63,"At the time of this survey, infection with penicillin resistant pneumococci and treatment failure were common [11]. ",penicillin resistant pneumococci,"(43, 75)",OG
PMC1187897,230,"Overall, 24% (95%CI 19, 29) of children had a perforation of the TM and 48% (95%CI 44, 52) of children had a suppurative ear infection (ie. ",suppurative ear infection,"(109, 134)",DS
PMC4540425,290,Renal impairment stage I (GFR ≥90) n (%) ,Renal impairment,"(0, 16)",DS
PMC4540425,293,Renal impairment stage II (GFR 60–89) n (%) ,Renal impairment,"(0, 16)",DS
PMC4540425,392,"Percent missing values were as follows: Testosterone (baseline), Free testosterone [18], % free testosterone, Bioavailable testosterone, % bioavailable testosterone = 79%; PSA (baseline) = 70%; Alcohol frequency = 38%; SHBG (baseline) = 33%; PGISS baseline, Previous overactive bladder therapy (Y/N) = 28%; Qmax, ED duration, ED aetiology, ED severity = 23%; IIEF baseline severity, IIEF-EF (baseline), IIEF-OF (baseline), IIEF-OS (baseline), IIEF-SD (baseline), IIEF-IS (baseline) = 14%; Albumin (baseline) = 2%; Renal impairment I, Renal impairment II, Renal impairment I (≥80), Renal impairment II (≥90) = 1%. ",Renal impairment,"(514, 530)",DS
PMC4540425,392,"Percent missing values were as follows: Testosterone (baseline), Free testosterone [18], % free testosterone, Bioavailable testosterone, % bioavailable testosterone = 79%; PSA (baseline) = 70%; Alcohol frequency = 38%; SHBG (baseline) = 33%; PGISS baseline, Previous overactive bladder therapy (Y/N) = 28%; Qmax, ED duration, ED aetiology, ED severity = 23%; IIEF baseline severity, IIEF-EF (baseline), IIEF-OF (baseline), IIEF-OS (baseline), IIEF-SD (baseline), IIEF-IS (baseline) = 14%; Albumin (baseline) = 2%; Renal impairment I, Renal impairment II, Renal impairment I (≥80), Renal impairment II (≥90) = 1%. ",Renal impairment,"(534, 550)",DS
PMC4540425,392,"Percent missing values were as follows: Testosterone (baseline), Free testosterone [18], % free testosterone, Bioavailable testosterone, % bioavailable testosterone = 79%; PSA (baseline) = 70%; Alcohol frequency = 38%; SHBG (baseline) = 33%; PGISS baseline, Previous overactive bladder therapy (Y/N) = 28%; Qmax, ED duration, ED aetiology, ED severity = 23%; IIEF baseline severity, IIEF-EF (baseline), IIEF-OF (baseline), IIEF-OS (baseline), IIEF-SD (baseline), IIEF-IS (baseline) = 14%; Albumin (baseline) = 2%; Renal impairment I, Renal impairment II, Renal impairment I (≥80), Renal impairment II (≥90) = 1%. ",Renal impairment,"(581, 597)",DS
PMC4540425,392,"Percent missing values were as follows: Testosterone (baseline), Free testosterone [18], % free testosterone, Bioavailable testosterone, % bioavailable testosterone = 79%; PSA (baseline) = 70%; Alcohol frequency = 38%; SHBG (baseline) = 33%; PGISS baseline, Previous overactive bladder therapy (Y/N) = 28%; Qmax, ED duration, ED aetiology, ED severity = 23%; IIEF baseline severity, IIEF-EF (baseline), IIEF-OF (baseline), IIEF-OS (baseline), IIEF-SD (baseline), IIEF-IS (baseline) = 14%; Albumin (baseline) = 2%; Renal impairment I, Renal impairment II, Renal impairment I (≥80), Renal impairment II (≥90) = 1%. ",Renal impairment,"(555, 571)",DS
PMC4540425,590,Renal impairment II ,Renal impairment,"(0, 16)",DS
PMC4540425,605,Renal impairment I ,Renal impairment,"(0, 16)",DS
PMC4540425,736,Renal impairment I ,Renal impairment,"(0, 16)",DS
PMC4051163,351,ATCNGC4 (CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4); calmodulin binding/cation channel/cation transmembrane transporter/cyclic nucleotide binding ,CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4),"(9, 50)",GP
PMC4051163,379,arginosuccinate synthase family ,arginosuccinate synthase,"(0, 24)",GP
PMC4051163,383,"oxidoreductase, 2OG-Fe(II) oxygenase family protein ","oxidoreductase, 2OG-Fe(II) oxygenase family","(0, 43)",GP
PMC4452330,80,"ICC may only enhance completely on delayed imaging obtained after contrast administration, a finding related to the desmoplastic nature of the tumor. ",desmoplastic,"(116, 128)",DS
PMC3874094,369,"USSC can produce a lot of cytokines such as CSF, LIF (Leukemia Inhibitory Factor), TGF-1β (Transforming Growth Factor-1 beta), VEGF (Vascular Endothelial Growth Factor), GM-CSF, M-CSF, IL-1β, IL-6, IL-8, IL-11, IL-12, IL-15, SDF-1α (Stromal Derived Factor-1 alpha) (56). ",Transforming Growth Factor-1 beta),"(91, 125)",GP
PMC5972578,31,"A spring wheat cultivar (Triticum aestivum L., ‘Cadenza’) was grown under controlled-climate conditions at Rothamsted Research, Harpenden, UK. ","Triticum aestivum L., ‘Cadenza’","(25, 56)",OG
PMC5286694,25,"Triatomine eggs are oval or elliptical, slightly asymmetrical and present a smooth convex or ornamented operculum [6, 7]. ",Triatomine,"(0, 10)",OG
PMC4912736,3,"In this study, we address this issue for the small ruminant parasite Haemonchus contortus in the Punjab, Pakistan. ",ruminant,"(51, 59)",OG
PMC4618948,17,"HAT is caused by subspecies of Trypanosoma brucei, a protozoan parasite transmitted by tsetse flies (Glossina spp.). ",Glossina spp.,"(101, 114)",OG
PMC4618948,42,"First, tsetse flies are susceptible to infection with T. brucei sspp. when they take their first blood from an infected host but are much less susceptible for subsequent blood-meals. ",T. brucei sspp.,"(54, 69)",OG
PMC5131611,18,"However, epithelial debridement is associated with a number of adverse events, including severe ocular pain in the immediate post-operative period, delayed visual rehabilitation and the risks of scarring, infectious and non-infectious keratitis (Koller et al., 2009). ",non-infectious keratitis,"(220, 244)",DS
PMC4494930,20,"At the same time, we found that MARCH 7 could modulate nuclear factor kB (NF-kB) and Wnt/β-catenin pathways. ",MARCH 7,"(32, 39)",GP
PMC4494930,24,The expression profile of MARCH 7 in ovarian cancer is not yet fully elucidated. ,MARCH 7,"(26, 33)",GP
PMC4494930,165,"Transforming growth factor (TGF)-β1, tumor necrosis factor-alpha (TNF-α) and Interleukin-1β are expressed in ovarian cancer, which can promote ovarian tumorigenesis through an inflammatory response [6-8]. ",(TGF)-β1,"(27, 35)",GP
PMC4494930,165,"Transforming growth factor (TGF)-β1, tumor necrosis factor-alpha (TNF-α) and Interleukin-1β are expressed in ovarian cancer, which can promote ovarian tumorigenesis through an inflammatory response [6-8]. ",Transforming growth factor,"(0, 26)",GP
PMC4494930,186,The decrease in nuclear translocation of NF kB p65 and P50 after transfection to SKOV3 cells were observed with LV3-shMARCH7-1 or LV3-shMARCH7-2 as compared to that of LV3-NC (P<0.05) (Fig. 5A and 5B). ,p65,"(47, 50)",GP
PMC4494930,186,The decrease in nuclear translocation of NF kB p65 and P50 after transfection to SKOV3 cells were observed with LV3-shMARCH7-1 or LV3-shMARCH7-2 as compared to that of LV3-NC (P<0.05) (Fig. 5A and 5B). ,NF kB,"(41, 46)",GP
PMC4494930,187,Increase in nuclear translocation of NF kB p65 and P50 were observed after infection of A2780 cells with LV5-MARCH7 as compared with that of LV5-GFP (P < 0.05) (Fig. 5A and 5B). ,p65,"(43, 46)",GP
PMC4494930,187,Increase in nuclear translocation of NF kB p65 and P50 were observed after infection of A2780 cells with LV5-MARCH7 as compared with that of LV5-GFP (P < 0.05) (Fig. 5A and 5B). ,NF kB,"(37, 42)",GP
PMC5298922,13,"In both human and mouse, the MECP2/Mecp2 gene consists of four exons encoding for two different protein isoforms, MeCP2E1 and MeCP2E2 [6,7]. ",MeCP2E2,"(126, 133)",GP
PMC5298922,13,"In both human and mouse, the MECP2/Mecp2 gene consists of four exons encoding for two different protein isoforms, MeCP2E1 and MeCP2E2 [6,7]. ",MeCP2E1,"(114, 121)",GP
PMC5298922,14,"The two Mecp2/MeCP2 isoforms show differential temporal and brain region-specific differences in their distribution [7], and we previously showed that MeCP2E1 isoform is similarly distributed compared to total MeCP2 in murine brain cells [8]. ",MeCP2E1,"(151, 158)",GP
PMC5298922,51,"Rett Syndrome (RTT) is a progressive X-linked neurological disorder that mainly affects young girls with an incidence rate of 1:10,000–1:15,000 [15,57]. ",X-linked neurological disorder,"(37, 67)",DS
PMC5298922,60,"The second stage of RTT starts at approximately one to four years, with developmental stagnation accompanied by general growth retardation, loss of purposeful hand movements and speech, tongue protrusion, abnormal facial expression, weight loss, and gait ataxia/apraxia [58,64,67]. ",gait ataxia,"(250, 261)",DS
PMC5298922,65,"A defining feature at this stage is the occurrence of seizures, which ranges from easily controlled to intractable epilepsy [69]. ",intractable epilepsy,"(103, 123)",GP
PMC5298922,96,"Angelman Syndrome is primarily caused by mutations or imprinting errors of the UBE3A gene located on chromosome 15, and is characterized by intellectual disability; severe speech impairment and gait ataxia. ",gait ataxia,"(194, 205)",DS
PMC5298922,100,X-linked Mental Retardation ,X-linked Mental Retardation,"(0, 27)",DS
PMC5298922,101,"X-linked mental retardation (XLMR) is a genetic disorder arising from mutations or duplication of genes across the X chromosome, including the MECP2 gene. MECP2 point mutations have been identified in up to 2% of individuals with XLMR and duplications of the gene are also implicated in approximately 1% to 2% of XLMR cases [86,94]. MECP2 mutations that cause RTT or severe neonatal encephalopathy are not identified in XLMR patients and vice versa [86,95]. ",XLMR,"(29, 33)",DS
PMC5298922,101,"X-linked mental retardation (XLMR) is a genetic disorder arising from mutations or duplication of genes across the X chromosome, including the MECP2 gene. MECP2 point mutations have been identified in up to 2% of individuals with XLMR and duplications of the gene are also implicated in approximately 1% to 2% of XLMR cases [86,94]. MECP2 mutations that cause RTT or severe neonatal encephalopathy are not identified in XLMR patients and vice versa [86,95]. ",X-linked mental retardation,"(0, 27)",DS
PMC5298922,101,"X-linked mental retardation (XLMR) is a genetic disorder arising from mutations or duplication of genes across the X chromosome, including the MECP2 gene. MECP2 point mutations have been identified in up to 2% of individuals with XLMR and duplications of the gene are also implicated in approximately 1% to 2% of XLMR cases [86,94]. MECP2 mutations that cause RTT or severe neonatal encephalopathy are not identified in XLMR patients and vice versa [86,95]. ",XLMR,"(230, 234)",DS
PMC5298922,101,"X-linked mental retardation (XLMR) is a genetic disorder arising from mutations or duplication of genes across the X chromosome, including the MECP2 gene. MECP2 point mutations have been identified in up to 2% of individuals with XLMR and duplications of the gene are also implicated in approximately 1% to 2% of XLMR cases [86,94]. MECP2 mutations that cause RTT or severe neonatal encephalopathy are not identified in XLMR patients and vice versa [86,95]. ",XLMR,"(313, 317)",DS
PMC5298922,101,"X-linked mental retardation (XLMR) is a genetic disorder arising from mutations or duplication of genes across the X chromosome, including the MECP2 gene. MECP2 point mutations have been identified in up to 2% of individuals with XLMR and duplications of the gene are also implicated in approximately 1% to 2% of XLMR cases [86,94]. MECP2 mutations that cause RTT or severe neonatal encephalopathy are not identified in XLMR patients and vice versa [86,95]. ",XLMR,"(420, 424)",DS
PMC5298922,102,"In addition, the molecular lesions underlying MECP2 duplications that result in XLMR are different from those observed in MECP2 duplication syndrome [96]. ",XLMR,"(80, 84)",DS
PMC5298922,103,"Males with XLMR show phenotypes, such as severe intellectual disability, speech impairment, and motor abnormalities, whereas females display mild intellectual disability or are unaffected [86]. ",XLMR,"(11, 15)",DS
PMC5298922,107,"Severe neonatal encephalopathy is a disorder characterized by a static encephalopathy, severe developmental delays and respiratory abnormalities. ",encephalopathy,"(71, 85)",DS
PMC5298922,122,"This makes it difficult to determine if a MECP2 mutation that is associated with autism diagnosis is a different disorder from RTT, or if both disorders are simply different representations on a spectrum associated with MECP2 mutations. MECP2 mutations have also been reported in patients with mild cognitive and motor difficulties and early-onset schizophrenia [106]. ",schizophrenia,"(348, 361)",DS
PMC5298922,210,This MeCP2 mutation has also been described in cases of X-linked mental retardation and manic-depressive behaviors. ,X-linked mental retardation,"(56, 83)",DS
PMC5298922,211,A140V mutant mice produce a mutant MeCP2 protein that lacks the ability to bind to Alpha thalassemia/mental retardation syndrome X-linked (ATRX) protein. ,Alpha thalassemia/mental retardation syndrome X-linked (ATRX) protein,"(83, 152)",GP
PMC5298922,215,"Recently, a Mecp2e1-deficient mouse model was developed with a point mutation in exon 1 changing translational start site of the first exon from “ATG” into “TTG”. ",Mecp2e1,"(12, 19)",GP
PMC5510223,4,"The use of animal-assisted therapy (AAT) with a therapy dog in the care of people with dementia is increasing, with the presence of a therapy dog being described as improving, among other things, the well-being and socialization of the person. ",animal,"(11, 17)",OG
PMC5510223,8,"Results: The main theme was “Using one’s own resources and abilities as a human being”, which meant being the person one can be and distancing oneself from the symptoms of AD during the time with the dog. ",human,"(74, 79)",OG
PMC5510223,119,"In the results, the participants have been given fictitious names.Table II.Sub-themes, themes and main theme that emerged from the text.Sub-themeThemeMain themeBeing affectionate towards the dogBeing concerned for the dogBecoming significant for the dog in the momentDistancing oneself from the dog in the momentLetting one’s feelings lead the way with the dog’s best interests in mindBeing close and at a distanceUsing one’s own resources and abilities as a human being ",human,"(459, 464)",OG
PMC5510223,120,Main theme: Using one’s own resources and abilities as a human being ,human,"(57, 62)",OG
PMC5510223,176,"In Parse’s (1992) theory “Human Becoming”, to be human is the equal right of everyone regardless of background, and the person freely chooses meaning and value in a situation by involving himself or herself. ",Human,"(26, 31)",OG
PMC5510223,182,"Provided care is shown through love and responsibility and by being both close and at a distance, the individual appears to be able to act like a healthy human being at that moment with the dog, with the symptoms of the disease, perhaps, being put aside for the moment. ",human,"(154, 159)",OG
PMC5510223,199,"They liven up and demonstrate the abilities and resources of a whole human being, and know that they are capable of taking care of the dog using their current faculties. ",human,"(69, 74)",OG
PMC3231843,14,"Upon activation, glycoprotein (Gp) IIb/IIIa (αIIbβ3 integrin) mediates platelet aggregation and spreading by means of fibrinogen bridges, which, once converted to fibrin, ultimately contribute to thrombus stabilization (4). ",glycoprotein (Gp) IIb,"(17, 38)",GP
PMC3231843,15,"This leads to the formation of platelet-rich thrombi that, occluding the arterial lumen and impairing blood-flow and oxygen supply, cause acute ischemia (5). ",thrombi,"(45, 52)",DS
PMC3231843,55,"By blocking Gαq via PAR-1 and Gβi via P2Y12, combined inhibition of thrombin and P2Y12 receptors leads to a synergistic inhibitory effect on thrombin-induced platelet aggregation (10). ",P2Y12,"(81, 86)",GP
PMC3231843,60,"Three main classes of antiplatelet agents are licensed for treatment of atherothrombosis: acetyl salicylic acid (aspirin), P2Y12 inhibitors (ticlopidine, clopidogrel, prasugrel, cangrelor, ticagrelor), and GpIIb/ Ilia receptor antagonists (abciximab, eptifibatide, and tirofiban) (11). ",GpIIb,"(206, 211)",GP
PMC3231843,63,"Thrombin binds to PAR-1 receptor, which leads to shape change, phospholipase C (PLC) activation, thromboxane A2 (T×A2) generation, and activation of the glycoprotein (GP) IIb/IIIa receptor, resulting in sustained platelet aggregation. ",glycoprotein (GP) IIb,"(153, 174)",GP
PMC3231843,69,"P2Y12 is linked to Gai-coupled signaling cascades associated with adenylcyclase (Ac) down-regulation and decreased cyclic-3',5'-monophosphate (cAMP) production, which mediates GP IIb/IIIa receptor activation, leading to sustained platelet aggregation. ",GP IIb/IIIa receptor,"(176, 196)",GP
PMC3231843,92,"Concomitant clinical conditions (diabetes mellitus, inflammation, hypercoagulable states, low fibrinolytic potential), high pretreatment platelet reactivity (observed in ACS or in subjects with high BMI), an increased platelet turn-over, and the simultaneous administration of some drugs (drug interaction and/or inadequate drug absorption) are common, major determinants of a low response to clopidogrel or to aspirin (21,27). ",hypercoagulable states,"(66, 88)",DS
PMC3231843,268,"Dyspnea, nausea, hypotension, and asymptomatic ventricular pauses were more frequent in the ticagrelor group, maybe because of an adenosine-mediated response (60). ",hypotension,"(17, 28)",DS
PMC3231843,322,Patients with peripheral artery disease (PAD) are eligible for inclusion if they have intermittent claudication in conjunction with an ankle-brachial index < 0.85 or previous revascularization for limb ischemia. ,intermittent claudication,"(86, 111)",DS
PMC3231843,329,"Being a growth factor-like molecule, as it interacts with receptor tyrosine kinases (RTKs) of the Tyro3, Axl, and MerTK (TAM) family, Gas6 employs a unique mechanism of action, interacting through its vitamin K-dependent Gla module with phosphatidylserine-containing membranes and through its carboxy-terminal LG domains with the TAM membrane receptors. ",TAM,"(121, 124)",GP
PMC3231843,336,MMP-2-neutralizing antibodies have shown protective effects in hearts exposed to ischemia-reperfusion injury (79). ,injury,"(102, 108)",DS
PMC3231843,336,MMP-2-neutralizing antibodies have shown protective effects in hearts exposed to ischemia-reperfusion injury (79). ,ischemia,"(81, 89)",DS
PMC4589515,600,"As expected, high correlations were found between the HCV RNA load and HCV core Ag level (r = 0.781) as well as between the HBV DNA load and HBsAg level (r = 0.558) in patients with HBV-HCV co-infecton (Table 6). ",HCV,"(186, 189)",OG
PMC4589515,600,"As expected, high correlations were found between the HCV RNA load and HCV core Ag level (r = 0.781) as well as between the HBV DNA load and HBsAg level (r = 0.558) in patients with HBV-HCV co-infecton (Table 6). ",HBV,"(182, 185)",OG
PMC3972685,118,"The following eight families are provided in the figure: ligand-dependent nuclear receptor, peptidase, phosphatase, transporter, ion channel, kinase, transcription regulator, enzymes and others. ",nuclear receptor,"(74, 90)",GP
PMC3972685,134,"ALPK1 (alpha-kinase 1), AGK (acylglycerol kinase), CAMK2B (calcium/calmodulin-dependent protein kinase II beta), MYLK (myosin light chain kinase) and TLK2 (tousled-like kinase 2) assist in phosphorylation, whereas, GRID1 (glutamate receptor delta-1 subunit), KCNK10 (potassium channel subfamily K member 10), ARL4C (ADP-ribosylation factor-like 4), HBA1/HBA2 (hemoglobin alpha 1), PITPNC1 (cytoplasmic phosphatidylinositol transfer protein 1), CAMK2B and NOX1 support the transport function. ",glutamate receptor delta-1,"(222, 248)",GP
PMC3365900,21,"Schematic representation of the PDHA2 gene showing the localization of the 2 CpG islands (CpG I and CpG II), the transcriptional start site and the putative Sp1 binding site. ",putative Sp1,"(148, 160)",GP
