	exact	type	db_id
112	GFP	CRT_GP	
113	MYB98	CRT_GP	
114	FERONIA	MIS_GP	
115	ARU	MIS_GP	
116	GFP	CRT_GP	
117	ARU	MIS_GP	
118	GFP	CRT_GP	
119	aru-1	MIS_GP	
120	ARU	MIS_GP	
121	GFP	CRT_GP	
122	ARU	MIS_GP	
123	GFP	CRT_GP	
124	onion	WT_OG	
125	ARU	MIS_GP	
126	GFP	CRT_GP	
127	tobacco	CRT_OG	
128	aru-1	MIS_GP	
129	plants	CRT_OG	
130	ARU	MIS_GP	
131	GFP	CRT_GP	
132	ARU	MIS_GP	
133	aru	MIS_GP	
134	ARU	MIS_GP	
135	GFP	CRT_GP	
136	ARU	MIS_GP	
137	GFP	CRT_GP	
138	ARU	MIS_GP	
139	aru-1	MIS_GP	
140	ARU	MIS_GP	
141	ARU	MIS_GP	
142	ARU	MIS_GP	
143	ARU	MIS_GP	
144	ARU	MIS_GP	
145	ARU	MIS_GP	
146	GFP	CRT_GP	
147	ARU	MIS_GP	
148	GFP	CRT_GP	
149	ARTUMES	MIS_GP	
150	ARU	MIS_GP	
151	ARU	MIS_GP	
152	ARU	MIS_GP	
153	ARU	MIS_GP	
154	ARU	MIS_GP	
155	ARU	MIS_GP	
156	ARU	MIS_GP	
157	ARU	MIS_GP	
158	ARU	MIS_GP	
159	GFP	CRT_GP	
160	ARU	MIS_GP	
161	ARU	MIS_GP	
162	aru	MIS_GP	
163	ARU	MIS_GP	
164	ARU	MIS_GP	
165	ARU	MIS_GP	
166	A. thaliana	CRT_OG	
167	ARU	MIS_GP	
168	ARU	MIS_GP	
169	ARU	MIS_GP	
170	A. lyrata	CRT_OG	
171	ARTUMES	MIS_GP	
172	ARU	MIS_GP	
173	A. thaliana	CRT_OG	
174	ARU	MIS_GP	
175	ARU	MIS_GP	
176	ARU	MIS_GP	
177	ARU	MIS_GP	
178	ARU	MIS_GP	
179	ARU	MIS_GP	
180	animal	MIS_OG	
181	A. thaliana	CRT_OG	
182	ARU	MIS_GP	
183	OST3	CRT_GP	
184	plant	MIS_OG	
185	oligosaccharyltransferase	MIS_GP	
186	OST	CRT_GP	
187	yeast	CRT_OG	
188	OST	CRT_GP	
189	OST3	CRT_GP	
190	plants	CRT_OG	
191	OST3	CRT_GP	
192	A. thaliana	CRT_OG	
193	ost3	CRT_GP	
194	aru	MIS_GP	
195	pathogen-associated molecular pattern (PAMP) receptor kinase	MIS_GP	
196	EF-TU RECEPTOR	MIS_GP	
197	EFR	CRT_GP	
198	KORRIGAN1	MIS_GP	
199	endo-β-1,4-glucanase	CRT_GP	
200	aru	MIS_GP	
201	FER	MIS_GP	
202	NTA	CRT_GP	
203	pathogen resistance	WT_DS	
204	A. lyrata	CRT_OG	
205	fer	MIS_GP	
206	FER	MIS_GP	
207	FER	MIS_GP	
208	receptor-like kinase	MIS_GP	
209	malectin	CRT_GP	
210	LRE	CRT_GP	
211	glycosylphosphatidylinositol-anchored protein	MIS_GP	
212	ARU	MIS_GP	
213	FER	MIS_GP	
214	LRE	CRT_GP	
215	aru	MIS_GP	
216	NTA	CRT_GP	
217	FER	MIS_GP	
218	aru	MIS_GP	
219	FER	MIS_GP	
220	GFP	CRT_GP	
221	LRE	CRT_GP	
222	Citrine	MIS_GP	
223	NTA	CRT_GP	
224	GFP	CRT_GP	
225	ARU	MIS_GP	
226	FER	MIS_GP	
227	aru	MIS_GP	
228	ARU	MIS_GP	
229	FER	MIS_GP	
230	ARU	MIS_GP	
231	surface proteins	CRT_GP	
232	FER	MIS_GP	
233	A. lyrata	CRT_OG	
234	aru	MIS_GP	
235	A. thaliana	CRT_OG	
236	A. thaliana	CRT_OG	
237	plants	CRT_OG	
238	Plant	MIS_OG	
239	A. thaliana	CRT_OG	
240	flowering plants	CRT_OG	
241	A. halleri	CRT_OG	
242	A. arenosa	CRT_OG	
243	plants	CRT_OG	
244	Plants	CRT_OG	
245	At1g61790	MIS_GP	
246	aru-1	MIS_GP	
247	At1g61780	MIS_GP	
248	At1g61795	MIS_GP	
249	At1g61810	MIS_GP	
250	aru-2	MIS_GP	
251	plants	CRT_OG	
252	A. thaliana	CRT_OG	
253	plant	MIS_OG	
254	ARU	MIS_GP	
255	GFP	CRT_GP	
256	ARU	MIS_GP	
257	attB	WT_GP	
258	E. coli strain DH5-alpha F'Iq	WS_OG	
259	plant	MIS_OG	
260	GFP	CRT_GP	
261	MYB98	CRT_GP	
262	ARU	MIS_GP	
263	MYB98	CRT_GP	
264	HindIII	MIS_GP	
265	XbaI	MIS_GP	
266	FER	MIS_GP	
267	FER	MIS_GP	
268	GFP	CRT_GP	
269	HindIII	MIS_GP	
270	XbaI	MIS_GP	
271	HindIII	MIS_GP	
272	XbaI	MIS_GP	
273	ARU	MIS_GP	
274	ARU	MIS_GP	
275	GFP	CRT_GP	
276	ARU	MIS_GP	
277	GFP	CRT_GP	
278	Agrobacterium tumefaciens strain CV1310	WS_OG	
279	aru-1	MIS_GP	
280	plants	CRT_OG	
281	plants	CRT_OG	
282	aru-1	MIS_GP	
283	ARU	MIS_GP	
284	GFP	CRT_GP	
285	plants	CRT_OG	
286	ARU	MIS_GP	
287	ARU	MIS_GP	
288	ARU	MIS_GP	
289	SpeI	MIS_GP	
290	KpnI	MIS_GP	
291	aru	MIS_GP	
292	ARU	MIS_GP	
293	GFP	CRT_GP	
294	ARU	MIS_GP	
295	GFP	CRT_GP	
296	ARU	MIS_GP	
297	GFP	CRT_GP	
298	HpaI	MIS_GP	
299	ARU	MIS_GP	
300	BamHI	MIS_GP	
301	ARU	MIS_GP	
302	HpaI	MIS_GP	
303	BamHI	MIS_GP	
304	ARU	MIS_GP	
305	ARU	MIS_GP	
306	GFP	CRT_GP	
307	ARU	MIS_GP	
308	GFP	CRT_GP	
309	LRE	CRT_GP	
310	Citrine	MIS_GP	
311	Citrine	MIS_GP	
312	Arabidopsis	WT_OG	
313	LRE	CRT_GP	
314	GPI	WT_GP	
315	LRE	CRT_GP	
316	GPI	WT_GP	
317	LRE	CRT_GP	
318	LRE	CRT_GP	
319	GPI	WT_GP	
320	FER	MIS_GP	
321	GFP	CRT_GP	
322	NTA	CRT_GP	
323	GFP	CRT_GP	
324	ARU	MIS_GP	
325	GFP	CRT_GP	
326	ARU	MIS_GP	
327	GFP	CRT_GP	
328	onion	WT_OG	
329	mCherry	MIS_GP	
330	onion	WT_OG	
331	GFP	CRT_GP	
332	SP2	WT_GP	
333	SP5	WT_GP	
334	reverse transcriptase	WT_GP	
335	reverse transcriptase	CRT_GP	
336	Reverse transcriptase	WT_GP	
337	ARU	MIS_GP	
338	ARU	MIS_GP	
339	A. thaliana	CRT_OG	
340	UBIQUITIN C	MIS_GP	
341	UBC9	CRT_GP	
342	UBC9	CRT_GP	
343	ARU	MIS_GP	
344	ARU	MIS_GP	
345	ARU	MIS_GP	
346	php	WT_GP	
347	Mrk	WT_GP	
348	Spr1	WT_GP	
349	Spr1	WT_GP	
350	Nok	WT_GP	
351	A. lyrata	CRT_OG	
352	oligosaccharyltransferase	MIS_GP	
353	Arabidopsis	CRT_OG	
354	Nat	WT_GP	
355	GABAA receptor	MIS_GP	
356	rats	CRT_OG	
357	hyperammonemia	CRT_DS	
358	hepatic encephalopathy	CRT_DS	
359	Hepatic encephalopathy	CRT_DS	
360	HE	MIS_DS	
361	liver cirrhosis	CRT_DS	
362	HE	MIS_DS	
363	hyperammonemia	CRT_DS	
364	animal	MIS_OG	
365	GABAA receptors	MIS_GP	
366	HE	MIS_DS	
367	GABAA receptors	MIS_GP	
368	rats	CRT_OG	
369	HE	MIS_DS	
370	HE	MIS_DS	
371	rats	CRT_OG	
372	hyperammonemia	CRT_DS	
373	rats	CRT_OG	
374	rats	CRT_OG	
375	rats	CRT_OG	
376	HE	MIS_DS	
377	HE	MIS_DS	
378	liver cirrhosis	CRT_DS	
379	minimal hepatic encephalopathy	WS_DS	
380	MHE	MIS_DS	
381	attention deficits	WT_DS	
382	mild cognitive impairment	WT_DS	
383	MHE	MIS_DS	
384	HE	MIS_DS	
385	HE	MIS_DS	
386	HE	MIS_DS	
387	hyperammonemia	CRT_DS	
388	liver disease	CRT_DS	
389	animal	MIS_OG	
390	HE	MIS_DS	
391	rats	CRT_OG	
392	HE	MIS_DS	
393	hyperammonemia	CRT_DS	
394	HE	MIS_DS	
395	GABAA receptors	MIS_GP	
396	rats	CRT_OG	
397	GABAA receptors	MIS_GP	
398	ataxia	CRT_DS	
399	GABAA receptors	MIS_GP	
400	GABAA receptors	MIS_GP	
401	rats	CRT_OG	
402	hyperammonemia	CRT_DS	
403	HE	MIS_DS	
404	GABAA receptors	MIS_GP	
405	HE	MIS_DS	
406	rats	CRT_OG	
407	hyperammonemia	CRT_DS	
408	HE	MIS_DS	
409	HE	MIS_DS	
410	GABAA receptor	MIS_GP	
411	GABAA receptor	MIS_GP	
412	rats	CRT_OG	
413	epilepsy	CRT_DS	
414	prostate cancer	CRT_DS	
415	depression	CRT_DS	
416	hepatic coma	CRT_DS	
417	HE	MIS_DS	
418	GABAA receptors	MIS_GP	
419	rats	CRT_OG	
420	hyperammonemia	CRT_DS	
421	HE	MIS_DS	
422	Hepatic Encephalopathy	CRT_DS	
423	CNS disorders	MIS_DS	
424	GABAA receptors	MIS_GP	
425	GABAA Receptor	MIS_GP	
426	human	CRT_OG	
427	γ2L GABAA receptor	MIS_GP	
428	trypsin	CRT_GP	
429	GABAA receptor	MIS_GP	
430	α1β2γ2L	MIS_GP	
431	GABAA receptors	MIS_GP	
432	α5β3γ2L	MIS_GP	
433	GABAA receptors	MIS_GP	
434	α1β2γ2L	MIS_GP	
435	α5β3γ2L	MIS_GP	
436	ion channels	MIS_GP	
437	neurotransmitter receptors	MIS_GP	
438	Adenosine A1 receptor	MIS_GP	
439	Angiotensin II, AT1 receptor	WS_GP	
440	Adenosine A2A receptor	MIS_GP	
441	Angiotensin II, AT2 receptor	WS_GP	
442	Adenosine A3 receptor	MIS_GP	
443	Bradykinin receptor	WS_GP	
444	Adrenergic alpha 1A receptor	MIS_GP	
445	Cholecystokinin CCK1 receptor	WS_GP	
446	Adrenergic alpha 1B receptor	MIS_GP	
447	Cholecystokinin CCK2 receptor	WS_GP	
448	Adrenergic alpha 2A receptor	MIS_GP	
449	Endothelin receptor A	MIS_GP	
450	Adrenergic alpha 2B receptor	MIS_GP	
451	Endothelin receptor B	MIS_GP	
452	Adrenergic Alpha 2C receptor	MIS_GP	
453	Galanin receptor	WS_GP	
454	Adrenergic beta 1 receptor	MIS_GP	
455	Neurokinin 1 receptor	MIS_GP	
456	Adrenergic beta 2 receptor	MIS_GP	
457	Neurokinin 2 receptor	MIS_GP	
458	Adrenergic beta 3 receptor	MIS_GP	
459	Neurokinin 3 receptor	MIS_GP	
460	Cannabinoid CB1 receptor	WS_GP	
461	Neuropeptide Y receptor Y1	WS_GP	
462	Cannabinoid CB2 receptor	WS_GP	
463	Neuropeptide Y receptor Y2	WS_GP	
464	Dopamine transporter	MIS_GP	
465	Vasoactive intestinal peptide receptor	WS_GP	
466	Dopamine D1 receptor	CRT_GP	
467	Vasopressin receptor 1	MIS_GP	
468	Dopamine D2 s receptor	MIS_GP	
469	Calcium channel type L	MIS_GP	
470	Dopamine D3 receptor	CRT_GP	
471	Calcium channel type L	MIS_GP	
472	Dopamine D4.4 receptor	MIS_GP	
473	Calcium channel type N	MIS_GP	
474	GABA transporter	MIS_GP	
475	Potassium channel, ATP-sensitive	MIS_GP	
476	GABA-A receptor	MIS_GP	
477	Potassium channel, Ca2+-activated	MIS_GP	
478	GABA-A receptor, α1	MIS_GP	
479	Potassium channel, hERG	MIS_GP	
480	GABA-A receptor, α6	MIS_GP	
481	Sodium channel	MIS_GP	
482	GABA-A receptor	MIS_GP	
483	chloride channel	MIS_GP	
484	Adenylate cyclase	CRT_GP	
485	GABA-B receptor	MIS_GP	
486	Nitric oxide synthase	CRT_GP	
487	Glutamate receptor	CRT_GP	
488	Protein kinase C	CRT_GP	
489	Glutamate receptor	CRT_GP	
490	Carbonic anhydrase 1	CRT_GP	
491	Glutamate receptor	CRT_GP	
492	Carbonic anhydrase 2	CRT_GP	
493	Glutamate receptor	CRT_GP	
494	Histone deacetylase 3	CRT_GP	
495	Glutamate receptor	CRT_GP	
496	Histone deacetylase 6	CRT_GP	
497	Glycine receptor	WT_OG,GP	
498	Histone deacetylase 8	CRT_GP	
499	Histamine H1 receptor	CRT_GP	
500	Histone deacetylase sirtuin 1	MIS_GP	
501	Histamine H2 receptor	CRT_GP	
502	Histone deacetylase sirtuin 2	MIS_GP	
503	Histamine H3 receptor	CRT_GP	
504	Histone deacetylase sirtuin 3	MIS_GP	
505	Imidazoline I2 receptor	MIS_GP	
506	esterase	CRT_GP	
507	Melatonin receptor	MIS_GP	
508	Monoamine oxidase A, peripheral	WS_GP	
509	Translocator protein	CRT_GP	
510	TSPO	CRT_GP	
511	Monoamine oxidase B, peripheral	WS_GP	
512	Muscarinic M1 receptor	MIS_GP	
513	Cyclooxygenase 1	CRT_GP	
514	Cyclooxygenase 2	CRT_GP	
515	Muscarinic M3 receptor	MIS_GP	
516	Serine/threonine phosphatase, PP1a	WS_GP	
517	Muscarinic M4 receptor	MIS_GP	
518	Serine/threonine phosphatase, PP2a	WS_GP	
519	Muscarinic M5 receptor	MIS_GP	
520	Phosphodiesterase 4A1A	MIS_GP	
521	Nicotinic receptor, neuronal	MIS_GP	
522	Phosphodiesterase 5A1	MIS_GP	
523	Norepinephrine transporter	CRT_GP	
524	Protease ACE1	WS_GP	
525	Protease elastase	WS_GP	
526	Opioid receptor, kappa 1	MIS_GP	
527	Matrix metalloprotease 2	MIS_GP	
528	Opioid receptor, mu	MIS_GP	
529	Matrix metalloprotease 3	MIS_GP	
530	Opioid receptor, Orphanin, ORL1	WS_GP	
531	Cyclin-dependent kinase 2	CRT_GP	
532	Purinergic P2Y receptor	MIS_GP	
533	Calcium/calmodulin-dependent kinase 2A	WS_GP	
534	Serotonin receptor, nonselective	WS_GP	
535	Epidermal growth factor receptor	CRT_GP	
536	Sigma receptor, nonselective	MIS_GP	
537	Ephrin type-A receptor	MIS_GP	
538	Estrogen receptor alpha	WS_GP	
539	Inhibitor of nuclear factor kappa-B kinase, b	MIS_GP	
540	Glucocorticoid receptor	CRT_GP	
541	Insulin receptor	CRT_GP	
542	Progesterone receptor	CRT_GP	
543	Mitogen-activated protein kinase C	WS_GP	
544	Testosterone receptor, cytosolic	MIS_GP	
545	Protein kinase C-alpha	WS_GP	
546	Corticotropin-releasing factor receptor	WS_GP	
547	Protein kinase C-eta	WS_GP	
548	Platelet-activating factor receptor	CRT_GP	
549	Proto-oncogene tyrosine-protein kinase Src	CRT_GP	
550	Thyrotropin-releasing hormone receptor	CRT_GP	
551	Zeta-chain-associated protein kinase 70	WT_OG,GP	
552	Hyperammonemia	CRT_DS	
553	Rats	CRT_OG	
554	Wistar rats	CRT_OG	
555	rats	CRT_OG	
556	rats	CRT_OG	
557	Wistar rats	CRT_OG	
558	Rats	CRT_OG	
559	animal	MIS_OG	
560	rats	CRT_OG	
561	rats	CRT_OG	
562	rats	CRT_OG	
563	animals	CRT_OG	
564	Animal	MIS_OG	
565	animals	CRT_OG	
566	sesame	CRT_OG	
567	rats	CRT_OG	
568	rats	CRT_OG	
569	rats	CRT_OG	
570	rats	CRT_OG	
571	rats	CRT_OG	
572	rats	CRT_OG	
573	rats	CRT_OG	
574	rats	CRT_OG	
575	rats	CRT_OG	
576	rats	CRT_OG	
577	rats	CRT_OG	
578	rats	CRT_OG	
579	rats	CRT_OG	
580	rats	CRT_OG	
581	rats	CRT_OG	
582	rats	CRT_OG	
583	rats	CRT_OG	
584	rats	CRT_OG	
585	rats	CRT_OG	
586	rats	CRT_OG	
587	rats	CRT_OG	
588	rats	CRT_OG	
589	rats	CRT_OG	
590	rat	CRT_OG	
591	rats	CRT_OG	
592	rats	CRT_OG	
593	rats	CRT_OG	
594	rats	CRT_OG	
595	rats	CRT_OG	
596	rats	CRT_OG	
597	rats	CRT_OG	
598	rats	CRT_OG	
599	hyperammonemia	CRT_DS	
600	Animal	MIS_OG	
601	GABAA Receptor	MIS_GP	
602	human	CRT_OG	
603	GABAA receptor	MIS_GP	
604	α1β2γ2L	MIS_GP	
605	α5β3γ2L	MIS_GP	
606	GABAA receptor	MIS_GP	
607	α1β2γ2L receptor	MIS_GP	
608	α5β3γ2L receptor	MIS_GP	
609	α1β2γ2L	MIS_GP	
610	α5β3γ2L GABAA receptors	MIS_GP	
611	α1β2γ2L GABAA receptor	MIS_GP	
612	α1β2γ2L GABAA receptor	MIS_GP	
613	α1β2γ2L GABAA receptor	MIS_GP	
614	α5β3γ2L GABAA receptor	MIS_GP	
615	α5β3γ2L GABAA receptor	MIS_GP	
616	α5β3γ2L GABAA receptors	MIS_GP	
617	GABAA receptor	MIS_GP	
618	α1β2γ2L GABAA receptor	MIS_GP	
619	α5β3γ2L GABAA receptor	MIS_GP	
620	α1β2γ2L GABAA receptor	MIS_GP	
621	α5β3γ2L GABAA receptor	MIS_GP	
622	neurotransmitter-related receptors	MIS_GP	
623	steroid receptors	MIS_GP	
624	peptide receptors	MIS_GP	
625	Rats	CRT_OG	
626	rats	CRT_OG	
627	rats	CRT_OG	
628	rats	CRT_OG	
629	rats	CRT_OG	
630	rats	CRT_OG	
631	rats	CRT_OG	
632	rats	CRT_OG	
633	rats	CRT_OG	
634	PCS2	WT_GP	
635	rats	CRT_OG	
636	rats	CRT_OG	
637	rats	CRT_OG	
638	rats	CRT_OG	
639	rats	CRT_OG	
640	rats	CRT_OG	
641	rats	CRT_OG	
642	rats	CRT_OG	
643	rats	CRT_OG	
644	rats	CRT_OG	
645	rats	CRT_OG	
646	rats	CRT_OG	
647	rats	CRT_OG	
648	rats	CRT_OG	
649	rats	CRT_OG	
650	rats	CRT_OG	
651	rats	CRT_OG	
652	rats	CRT_OG	
653	rats	CRT_OG	
654	rats	CRT_OG	
655	rats	CRT_OG	
656	rats	CRT_OG	
657	rats	CRT_OG	
658	rats	CRT_OG	
659	rats	CRT_OG	
660	rats	CRT_OG	
661	rats	CRT_OG	
662	rats	CRT_OG	
663	rats	CRT_OG	
664	rats	CRT_OG	
665	rats	CRT_OG	
666	rats	CRT_OG	
667	rats	CRT_OG	
668	rats	CRT_OG	
669	rats	CRT_OG	
670	rats	CRT_OG	
671	rats	CRT_OG	
672	rats	CRT_OG	
673	rats	CRT_OG	
674	rats	CRT_OG	
675	rats	CRT_OG	
676	rats	CRT_OG	
677	Rats	CRT_OG	
678	rats	CRT_OG	
679	rats	CRT_OG	
680	rats	CRT_OG	
681	rats	CRT_OG	
682	rats	CRT_OG	
683	rats	CRT_OG	
684	rats	CRT_OG	
685	PCS2	WT_GP	
686	rats	CRT_OG	
687	rats	CRT_OG	
688	rats	CRT_OG	
689	rats	CRT_OG	
690	rats	CRT_OG	
691	rats	CRT_OG	
692	rats	CRT_OG	
693	rats	CRT_OG	
694	rats	CRT_OG	
695	rats	CRT_OG	
696	rats	CRT_OG	
697	rats	CRT_OG	
698	rats	CRT_OG	
699	rats	CRT_OG	
700	rats	CRT_OG	
701	rats	CRT_OG	
702	rats	CRT_OG	
703	rats	CRT_OG	
704	rats	CRT_OG	
705	rats	CRT_OG	
706	rats	CRT_OG	
707	rats	CRT_OG	
708	Rats	CRT_OG	
709	rats	CRT_OG	
710	rats	CRT_OG	
711	rats	CRT_OG	
712	rat	MIS_OG	
713	rats	CRT_OG	
714	rats	CRT_OG	
715	sesame	MIS_OG	
716	GABAA receptor	MIS_GP	
717	rats	CRT_OG	
718	rats	CRT_OG	
719	rats	CRT_OG	
720	liver failure	CRT_DS	
721	rats	CRT_OG	
722	rats	CRT_OG	
723	rats	CRT_OG	
724	rats	CRT_OG	
725	rats	CRT_OG	
726	rats	CRT_OG	
727	liver failure	CRT_DS	
728	GABAA receptor	MIS_GP	
729	rats	CRT_OG	
730	HE	MIS_DS	
731	HE	MIS_DS	
732	rats	CRT_OG	
733	rats	CRT_OG	
734	GABAA receptors	MIS_GP	
735	rats	CRT_OG	
736	GABAA receptors	MIS_GP	
737	GABAA receptors	MIS_GP	
738	Down syndrome	CRT_DS	
739	circadian arrhythmia	MIS_DS	
740	GABAA receptors	MIS_GP	
741	animal	MIS_OG	
742	GABAA receptors	MIS_GP	
743	GABAA receptors	MIS_GP	
744	HE	MIS_DS	
745	GABAA receptor	MIS_GP	
746	rats	CRT_OG	
747	rats	CRT_OG	
748	GABAA receptor	MIS_GP	
749	GABAA receptor	MIS_GP	
750	rats	CRT_OG	
751	HE	MIS_DS	
752	rats	CRT_OG	
753	GABAA receptor	MIS_GP	
754	GABAA receptor	MIS_GP	
755	GABAA receptor	MIS_GP	
756	HE	MIS_DS	
757	HE	MIS_DS	
758	GABAA receptor	MIS_GP	
759	HE	MIS_DS	
760	GABAA receptor	MIS_GP	
761	GABAA receptors	MIS_GP	
762	hyperammonemia	CRT_DS	
763	chronic liver disease	CRT_DS	
764	hyperammonemia	CRT_DS	
765	band 3	MIS_GP	
766	spectrin	MIS_GP	
767	antibodies	MIS_GP	
768	Plasmodium vivax infection	WT_OG,DS	
769	anemia	CRT_DS	
770	anemia	CRT_DS	
771	Plasmodium vivax malaria	WT_OG,DS	
772	P. vivax infection	WT_OG,DS	
773	antibodies	MIS_GP	
774	autoantibodies	MIS_GP	
775	vivax malaria	CRT_DS	
776	P. vivax	CRT_OG	
777	band 3	MIS_GP	
778	spectrin	MIS_GP	
779	antibody	MIS_GP	
780	hemoglobin	CRT_GP	
781	band 3	MIS_GP	
782	spectrin	MIS_GP	
783	antibodies	MIS_GP	
784	IgG	MIS_GP	
785	band 3	MIS_GP	
786	spectrin	MIS_GP	
787	autoantibodies	MIS_GP	
788	mimicry	WT_DS	
789	P. vivax	CRT_OG	
790	human	CRT_OG	
791	spectrin	MIS_GP	
792	infection	CRT_DS	
793	autoimmune responses	WT_DS	
794	band 3	MIS_GP	
795	spectrin	MIS_GP	
796	autoantibodies	MIS_GP	
797	P. vivax malaria	WT_OG,DS	
798	anemia	CRT_DS	
799	Plasmodium vivax	CRT_OG	
800	malaria	CRT_DS	
801	fatal outcomes	WT_DS	
802	anemia	CRT_DS	
803	vivax malaria	CRT_DS	
804	anemia	CRT_DS	
805	Malaria	CRT_DS	
806	anemia	CRT_DS	
807	hemolysis	WT_DS	
808	dyserythropoiesis	WT_DS	
809	P. vivax	CRT_OG	
810	anemia	CRT_DS	
811	P. falciparum infections	WT_OG,DS	
812	malarial anemia	WS_DS	
813	antibodies	MIS_GP	
814	hemoglobin	CRT_GP	
815	antibodies	MIS_GP	
816	humans	CRT_OG	
817	anemia	CRT_DS	
818	P. falciparum infection	WT_OG,DS	
819	antibodies	MIS_GP	
820	human	CRT_OG	
821	P. falciparum	CRT_OG	
822	autoimmunoglobulins	MIS_GP	
823	P. vivax infection	WT_OG,DS	
824	antibodies	MIS_GP	
825	vivax malaria	CRT_DS	
826	autoimmunoglobulins	MIS_GP	
827	P. vivax infection	WT_OG,DS	
828	vivax malaria	CRT_DS	
829	anemia	CRT_DS	
830	autoimmune diseases	CRT_DS	
831	autoantibodies	MIS_GP	
832	P. vivax	CRT_OG	
833	anemia	CRT_DS	
834	IgG	MIS_GP	
835	P. vivax	CRT_OG	
836	mimicry	WT_DS	
837	vivax malaria	CRT_DS	
838	anemia	CRT_DS	
839	P. vivax	CRT_OG	
840	human	CRT_OG	
841	IgGs	MIS_GP	
842	P. vivax	CRT_OG	
843	acute malaria	CRT_DS	
844	IgG	MIS_GP	
845	antibodies	MIS_GP	
846	P. vivax malaria	WT_OG,DS	
847	immunoglobulins	MIS_GP	
848	P. vivax infection	WT_OG,DS	
849	anemia	CRT_DS	
850	malaria	CRT_DS	
851	P. vivax	CRT_OG	
852	IgG	MIS_GP	
853	IgG	MIS_GP	
854	P. vivax	CRT_OG	
855	anemia	CRT_DS	
856	IgG	MIS_GP	
857	antibody	MIS_GP	
858	P. vivax	CRT_OG	
859	antibodies	MIS_GP	
860	vivax malaria	CRT_DS	
861	ankyrin	MIS_GP	
862	dematin 7	WS_GP	
863	band 4.2	MIS_GP	
